Hora_Inicio,Hora_Fin,Estado,Estilo,Duracion_Seg,Brazadas,PPM,SWOLF,Metros_Largo,Distancia_Acumulada,Bloque_Rutina
2026-06-21 18:12:28,2026-06-21 18:12:53,Nado,freestyle,25.4,9.0,131.0,34.4,25,25,1. Entrada en Calor
2026-06-21 18:12:28,2026-06-21 18:12:59,Nado,freestyle,31.2,10.0,131.0,41.2,25,50,1. Entrada en Calor
2026-06-21 18:12:28,2026-06-21 18:13:02,Nado,freestyle,34.0,12.0,131.0,46.0,25,75,1. Entrada en Calor
2026-06-21 18:12:28,2026-06-21 18:13:03,Nado,freestyle,35.9,12.0,131.0,47.9,25,100,1. Entrada en Calor
2026-06-21 18:12:28,2026-06-21 18:13:01,Nado,freestyle,33.4,11.0,131.0,44.4,25,125,1. Entrada en Calor
2026-06-21 18:12:28,2026-06-21 18:13:03,Nado,freestyle,35.2,11.0,131.0,46.2,25,150,1. Entrada en Calor
2026-06-21 18:16:15,2026-06-21 18:16:30,Descanso,,15.7,,131.0,,0,150,1. Entrada en Calor
2026-06-21 18:16:31,2026-06-21 18:16:58,Nado,freestyle,27.2,10.0,143.0,37.2,25,175,1. Entrada en Calor
2026-06-21 18:16:31,2026-06-21 18:17:06,Nado,freestyle,35.1,11.0,143.0,46.1,25,200,1. Entrada en Calor
2026-06-21 18:16:31,2026-06-21 18:17:00,Nado,freestyle,29.0,10.0,143.0,39.0,25,225,1. Entrada en Calor
2026-06-21 18:16:31,2026-06-21 18:17:03,Nado,freestyle,32.8,11.0,143.0,43.8,25,250,1. Entrada en Calor
2026-06-21 18:16:31,2026-06-21 18:17:01,Nado,freestyle,30.5,11.0,143.0,41.5,25,275,1. Entrada en Calor
2026-06-21 18:16:31,2026-06-21 18:17:05,Nado,freestyle,34.6,12.0,143.0,46.6,25,300,1. Entrada en Calor
2026-06-21 18:19:58,2026-06-21 18:22:18,Descanso,,140.9,,143.0,,0,300,1. Entrada en Calor
2026-06-21 18:22:18,2026-06-21 18:22:44,Nado,freestyle,26.0,8.0,130.0,34.0,25,325,2. Fuerza: Manoplas
2026-06-21 18:22:18,2026-06-21 18:22:47,Nado,freestyle,29.9,9.0,130.0,38.9,25,350,2. Fuerza: Manoplas
2026-06-21 18:23:20,2026-06-21 18:23:37,Descanso,,17.5,,130.0,,0,350,2. Fuerza: Manoplas
2026-06-21 18:23:37,2026-06-21 18:24:10,Nado,freestyle,33.0,10.0,138.0,43.0,25,375,2. Fuerza: Manoplas
2026-06-21 18:23:37,2026-06-21 18:24:18,Nado,freestyle,41.5,11.0,138.0,52.5,25,400,2. Fuerza: Manoplas
2026-06-21 18:24:52,2026-06-21 18:25:11,Descanso,,19.6,,138.0,,0,400,2. Fuerza: Manoplas
2026-06-21 18:25:11,2026-06-21 18:25:43,Nado,freestyle,32.7,10.0,140.0,42.7,25,425,2. Fuerza: Manoplas
2026-06-21 18:25:11,2026-06-21 18:25:48,Nado,freestyle,37.3,10.0,140.0,47.3,25,450,2. Fuerza: Manoplas
2026-06-21 18:26:25,2026-06-21 18:26:47,Descanso,,22.4,,140.0,,0,450,2. Fuerza: Manoplas
2026-06-21 18:26:47,2026-06-21 18:27:19,Nado,freestyle,32.1,10.0,142.0,42.1,25,475,2. Fuerza: Manoplas
2026-06-21 18:26:47,2026-06-21 18:27:21,Nado,freestyle,34.3,9.0,142.0,43.3,25,500,2. Fuerza: Manoplas
2026-06-21 18:27:55,2026-06-21 18:28:30,Descanso,,35.9,,142.0,,0,500,2. Fuerza: Manoplas
2026-06-21 18:28:31,2026-06-21 18:29:02,Nado,freestyle,31.2,10.0,136.0,41.2,25,525,2. Fuerza: Manoplas
2026-06-21 18:28:31,2026-06-21 18:29:02,Nado,freestyle,31.0,9.0,136.0,40.0,25,550,2. Fuerza: Manoplas
2026-06-21 18:29:36,2026-06-21 18:29:59,Descanso,,23.6,,136.0,,0,550,2. Fuerza: Manoplas
2026-06-21 18:30:00,2026-06-21 18:30:29,Nado,freestyle,29.4,9.0,141.0,38.4,25,575,2. Fuerza: Manoplas
2026-06-21 18:30:00,2026-06-21 18:30:34,Nado,freestyle,34.9,10.0,141.0,44.9,25,600,2. Fuerza: Manoplas
2026-06-21 18:31:09,2026-06-21 18:31:27,Descanso,,18.3,,141.0,,0,600,2. Fuerza: Manoplas
2026-06-21 18:31:27,2026-06-21 18:31:59,Nado,freestyle,32.7,10.0,143.0,42.7,25,625,2. Fuerza: Manoplas
2026-06-21 18:31:27,2026-06-21 18:32:01,Nado,freestyle,34.6,10.0,143.0,44.6,25,650,2. Fuerza: Manoplas
2026-06-21 18:32:37,2026-06-21 18:32:53,Descanso,,16.6,,143.0,,0,650,2. Fuerza: Manoplas
2026-06-21 18:32:54,2026-06-21 18:33:27,Nado,freestyle,33.2,10.0,148.0,43.2,25,675,2. Fuerza: Manoplas
2026-06-21 18:32:54,2026-06-21 18:33:23,Nado,freestyle,29.9,9.0,148.0,38.9,25,700,2. Fuerza: Manoplas
2026-06-21 18:32:54,2026-06-21 18:36:16,Descanso,,202.8,,148.0,,0,700,2. Fuerza: Manoplas
2026-06-21 18:36:17,2026-06-21 18:36:40,Nado,butterfly,23.9,11.0,150.0,34.9,25,725,3. Combinados: Mariposa/Crol
2026-06-21 18:36:17,2026-06-21 18:36:54,Nado,freestyle,37.7,11.0,150.0,48.7,25,750,3. Combinados: Mariposa/Crol
2026-06-21 18:37:22,2026-06-21 18:37:55,Descanso,,33.2,,150.0,,0,750,3. Combinados: Mariposa/Crol
2026-06-21 18:37:55,2026-06-21 18:38:21,Nado,butterfly,26.8,12.0,155.0,38.8,25,775,3. Combinados: Mariposa/Crol
2026-06-21 18:37:55,2026-06-21 18:38:35,Nado,freestyle,40.1,12.0,155.0,52.1,25,800,3. Combinados: Mariposa/Crol
2026-06-21 18:39:06,2026-06-21 18:39:49,Descanso,,43.2,,155.0,,0,800,3. Combinados: Mariposa/Crol
2026-06-21 18:39:49,2026-06-21 18:40:20,Nado,butterfly,31.0,13.0,151.0,44.0,25,825,3. Combinados: Mariposa/Crol
2026-06-21 18:39:49,2026-06-21 18:40:34,Nado,freestyle,45.1,13.0,151.0,58.1,25,850,3. Combinados: Mariposa/Crol
2026-06-21 18:41:05,2026-06-21 18:41:34,Descanso,,29.7,,151.0,,0,850,3. Combinados: Mariposa/Crol
